Country,Region,Population,Area_sq_mi,Pop_Density_per_sq_mi,Coastline_coast_to_area_ratio,Net_migration,Infant_mortality_per_1000_births,GDP,Literacy_%,Phones_per_1000,Arable_%,Crops_%,Other_%,Climate,Birthrate,Deathrate,Agriculture,Industry,Service
Afghanistan,ASIA (EX. NEAR EAST),31056997,647500,"48,0","0,00","23,06",16307,700,360,"3,2","12,13","0,22",8765,1,466,2034,"0,38","0,24","0,38"
Albania,EASTERN EUROPE,3581655,28748,"124,6","1,26","-4,93",2152,4500,865,"71,2","21,09","4,42",7449,3,1511,522,"0,232","0,188","0,579"
Algeria,NORTHERN AFRICA,32930091,2381740,"13,8","0,04","-0,39",31,6000,700,"78,1","3,22","0,25",9653,1,1714,461,"0,101","0,6","0,298"
American Samoa,OCEANIA,57794,199,"290,4","58,29","-20,71",927,8000,970,"259,5",10,15,75,2,2246,327,NA,NA,NA
Andorra,WESTERN EUROPE,71201,468,"152,1","0,00","6,6",405,19000,1000,"497,2","2,22",0,9778,3,871,625,NA,NA,NA
Angola,SUB-SAHARAN AFRICA,12127071,1246700,"9,7","0,13",0,19119,1900,420,"7,8","2,41","0,24",9735,NA,4511,242,"0,096","0,658","0,246"
Anguilla,LATIN AMER. & CARIB,13477,102,"132,1","59,80","10,76",2103,8600,950,"460,0",0,0,100,2,1417,534,"0,04","0,18","0,78"
Antigua & Barbuda,LATIN AMER. & CARIB,69108,443,"156,0","34,54","-6,15",1946,11000,890,"549,9","18,18","4,55",7727,2,1693,537,"0,038","0,22","0,743"
Argentina,LATIN AMER. & CARIB,39921833,2766890,"14,4","0,18","0,61",1518,11200,971,"220,4","12,31","0,48",8721,3,1673,755,"0,095","0,358","0,547"
Armenia,C.W. OF IND. STATES,2976372,29800,"99,9","0,00","-6,47",2328,3500,986,"195,7","17,55","2,3",8015,4,1207,823,"0,239","0,343","0,418"
Aruba,LATIN AMER. & CARIB,71891,193,"372,5","35,49",0,589,28000,970,"516,1","10,53",0,8947,2,1103,668,"0,004","0,333","0,663"
Australia,OCEANIA,20264082,7686850,"2,6","0,34","3,98",469,29000,1000,"565,5","6,55","0,04",9341,1,1214,751,"0,038","0,262","0,7"
Austria,WESTERN EUROPE,8192880,83870,"97,7","0,00",2,466,30000,980,"452,2","16,91","0,86",8223,3,874,976,"0,018","0,304","0,678"
Azerbaijan,C.W. OF IND. STATES,7961619,86600,"91,9","0,00","-4,9",8174,3400,970,"137,1","19,63","2,71",7766,1,2074,975,"0,141","0,457","0,402"
"Bahamas, The",LATIN AMER. & CARIB,303770,13940,"21,8","25,41","-2,2",2521,16700,956,"460,6","0,8","0,4",988,2,1757,905,"0,03","0,07","0,9"
Bahrain,NEAR EAST,698585,665,"1050,5","24,21","1,05",1727,16900,891,"281,3","2,82","5,63",9155,1,178,414,"0,005","0,387","0,608"
Bangladesh,ASIA (EX. NEAR EAST),147365352,144000,"1023,4","0,40","-0,71",626,1900,431,"7,3","62,11","3,07",3482,2,298,827,"0,199","0,198","0,603"
Barbados,LATIN AMER. & CARIB,279912,431,"649,5","22,51","-0,31",125,15700,974,"481,9","37,21","2,33",6046,2,1271,867,"0,06","0,16","0,78"
Belarus,C.W. OF IND. STATES,10293011,207600,"49,6","0,00","2,54",1337,6100,996,"319,1","29,55","0,6",6985,4,1116,1402,"0,093","0,316","0,591"
Belgium,WESTERN EUROPE,10379067,30528,"340,0","0,22","1,23",468,29100,980,"462,6","23,28","0,4",7632,3,1038,1027,"0,01","0,24","0,749"
Belize,LATIN AMER. & CARIB,287730,22966,"12,5","1,68",0,2569,4900,941,"115,7","2,85","1,71",9544,2,2884,572,"0,142","0,152","0,612"
Benin,SUB-SAHARAN AFRICA,7862944,112620,"69,8","0,11",0,85,1100,409,"9,7","18,08","2,4",7952,2,3885,1222,"0,316","0,138","0,546"
Bermuda,NORTHERN AMERICA,65773,53,"1241,0","194,34","2,49",853,36000,980,"851,4",20,0,80,2,114,774,"0,01","0,1","0,89"
